date,return,log_return,rolling_return_5d,rolling_return_10d,price_momentum,volume_ratio_20d,rolling_volume_mean,rolling_volume_std,obv,volatility_20d,true_range,atr_14d,rsi_14d,macd,symbol,is_pump_and_dump,is_wash_trading,is_spoofing,is_layering,is_manipulation,attribution_confidence,detector_agreement,label_confidence,centroid_distance,evidence_json,used_in_training
2025-12-27,0.4613625846010601,0.0057912850251953,-0.0083928387458518,0.0189439819153318,1633.7899999999936,0.3054858194013299,14630.962474,6405.670487837823,-479198.9734529999,-2.5151070749458486,507.4499999999971,941.49714285714,41.036312984790165,-1208.7639314034896,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-12-28,0.2206795557876299,0.0008610604018155,0.0053346821205679,0.028489268901723,2436.300000000003,0.3161562029697937,14063.595173,6788.369463318182,-474752.6806029999,-2.356482456703226,75.70000000001164,799.201428571427,49.01928889731003,-1119.7657599795348,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-12-29,-0.2153451926574034,-0.0081692406318066,-0.0049312502815974,-0.0102092266874705,-899.8099999999977,1.4214437474826165,13996.3229535,6719.824889351251,-494647.6663529999,-2.5375135726352203,715.5800000000017,726.0221428571416,53.9601802778546,-1094.3602893769566,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-12-30,0.8223026319397096,0.0142085407306048,0.0144478773181211,0.0014100127997791,124.59000000001106,0.9565181634196392,13701.6844125,6617.353175019471,-481541.7563429999,-2.260251316275512,1248.3600000000006,712.9521428571419,53.11616788544216,-962.4001025586768,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-12-31,-0.2846356908431358,-0.0095072806518879,0.0031894403497052,-0.011399199132495,-1010.6399999999994,0.8703134255538058,13280.986056999998,6463.364987271027,-493100.3768129999,-2.1648001899005327,837.2700000000041,657.028571428571,57.63719777352584,-914.8357384981064,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-01,0.7967703654178439,0.013494889906895,0.0109474594094631,0.0024627404021111,218.25,0.4920906551489059,12761.005039,6592.62368380327,-486820.8054829999,-2.2560032019484804,1190.8199999999924,690.172142857142,67.19358834907644,-772.1505445646326,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-02,0.759482749895803,0.0129293647305218,0.0232217972590043,0.0286803602862173,2509.1300000000047,1.3045053927828396,13336.0682955,6462.592736404227,-469423.8324729999,-2.0975448137801744,1156.090000000011,585.5692857142858,61.33323249536166,-559.3370103482157,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-03,0.4519506432762745,0.0070077686612814,0.0388696877121013,0.0337467612720281,2958.5599999999977,0.533924695356839,13218.0946515,6558.722207780943,-462366.3653129999,-2.289141439920596,632.8799999999901,614.7778571428571,63.17032052227925,-335.742395103458,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-04,0.5676600556842505,0.0099005111234531,0.0344038327639932,0.0493487724371617,4304.459999999992,0.8177358303986253,12750.4865415,6397.771629776145,-451939.8356129999,-2.390426386863333,901.7200000000012,657.903571428571,65.58451357938907,-84.80322481080657,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-05,1.3494367492361412,0.0251373831135929,0.0708684101057615,0.0742838810221775,6490.150000000009,1.6074186315929058,12861.363825,6519.906698984475,-431266.23977299983,-2.0896795280074576,2329.9800000000105,821.6114285714284,72.77284361046591,298.6353071827034,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-06,-0.0057378630047554,-0.0011912093706725,0.055256450317338,0.0668088274737614,5870.960000000006,1.4492809960194608,12796.978875,6453.445138089981,-449812.65806299984,-2.221447655595616,111.74000000000524,748.5364285714293,79.87720799922894,586.7331278934871,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-07,-1.1898384906939805,-0.0257567322610848,0.0152122675971466,0.0387873210501414,3411.449999999997,1.1663291807772274,12240.532506,5750.586714666645,-464089.1483129998,-1.7679874140189606,2383.8099999999977,905.7050000000008,64.56919511004452,615.6028947991581,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-08,-0.0594455510320506,-0.0028955845252425,0.0052078821988921,0.0442799986657058,3862.8600000000006,1.3461560468864593,11984.3395625,5433.145397657772,-480221.9394829998,-2.0455486742088977,264.16999999999825,892.8471428571439,65.49905358940018,610.132850126407,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-09,-0.1449142459241127,-0.0050479560758538,-0.0097066821894918,0.0243632035037608,2155.7899999999936,1.2464548406488871,12507.696935,5238.073583932829,-495812.2188729998,-1.9236111114913557,458.7100000000064,915.3057142857162,62.76591427688483,562.3018709653988,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-10,0.0450605909902836,-0.0015079553615388,-0.0357449431710369,0.0325902796428723,2856.479999999996,0.2522388954983073,12306.259167,5525.24309379437,-498916.3360929998,-1.83345280624554,136.58000000000175,888.8150000000023,60.55856071607379,507.52418790802767,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-11,0.384536586769255,0.0056077122089449,-0.0291667115565276,0.024478089812767,2174.6100000000006,0.4623438783762081,11846.454978999998,5697.847874988229,-493439.2001529998,-1.7439768987801194,508.9499999999971,919.76142857143,61.88561319472589,499.4234483285254,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-12,0.2411729453433249,0.003099670437196,-0.0007438365328374,0.014457115623923,1301.0699999999924,1.3534798407394892,11960.342661,5763.655111288893,-477251.1174729998,-1.765238135356216,282.5500000000029,888.8307142857157,66.30983081303441,509.9248808707489,BTCUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2026-01-13,2.3683366442139477,0.0441161525063742,0.0473546704011711,0.0528091701450799,4785.990000000005,1.819253227479626,12654.376242,6223.643308871627,-454229.6026529998,-1.0231559071018368,4117.800000000003,1093.790714285716,72.62286399787888,840.8268592913228,BTCUSDT,1,0,0,0,1,0.3293134726881085,0.5,0.16465673634405426,6.043523021540859,"[{""name"": ""volume_spike"", ""value"": 1.819253227479626, ""threshold"": 1.5, ""triggered"": true, ""z_score"": null}, {""name"": ""large_return"", ""value"": 2.3683366442139477, ""threshold"": 0.05, ""triggered"": true, ""z_score"": null}]",False
